Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
56-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
61-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
72-1-2,Type-1,Yes,Yes,Yes,Yes,
79-1-2,Type-1,Yes,Yes,Yes,Yes,
84-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
94-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
97-1-2,Type-1,Yes,Yes,Yes,Yes,
105-1-2,Type-1,Yes,Yes,Yes,Yes,
114-1-2,Type-1,Yes,Yes,Yes,Yes,
128-1-2,Type-1,Yes,Yes,Yes,Yes,
141-1-2,Type-1,Yes,Yes,Yes,Yes,
148-1-2,Type-1,Yes,Yes,Yes,Yes,
172-1-2,Type-1,Yes,Yes,Yes,Yes,
197-1-2,Type-1,Yes,Yes,Yes,Yes,
237-1-2,Type-1,compilation error,compilation error,No,Yes,
241-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
281-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
287-1-3,Type-1,compilation error,compilation error,No,Yes,
300-1-3,Type-1,compilation error,compilation error,No,Yes,
327-2-3,Type-1,Yes,Yes,Yes,No,
327-2-4,Type-1,Yes,Yes,Yes,No,
329-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
359-1-2,Type-1,Yes,Yes,Yes,Yes,
397-1-2,Type-1,Yes,Yes,Yes,Yes,
398-1-2,Type-1,Yes,Yes,Yes,Yes,
399-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
439-1-2,Type-1,Yes,Yes,Yes,Yes,
490-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
497-1-2,Type-1,Yes,Yes,Yes,Yes,
539-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor the whole method
545-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
553-1-2,Type-1,Yes,Yes,Yes,No,GPT refactor the whole method
603-1-3,Type-1,compilation error,compilation error,No,No,
603-1-4,Type-1,Yes,Yes,Yes,No,
603-3-4,Type-1,Yes,Yes,Yes,No,
603-2-5,Type-1,compilation error,compilation error,No,No,
690-1-3,Type-1,Yes,Yes,Yes,No,
700-3-4,Type-1,Yes,tests fail,No,No,
719-1-2,Type-1,Yes,Yes,Yes,Yes,
753-1-2,Type-1,Yes,Yes,Yes,Yes,
754-1-3,Type-1,Yes,Yes,Yes,Yes,
796-1-3,Type-1,Yes,Yes,Yes,No,
796-2-3,Type-1,Yes,Yes,Yes,No,
843-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
963-1-2,Type-1,didn't extract clones,didn't extract clones,No,No,incomplete refactorings
971-1-3,Type-1,compilation error,compilation error,No,Yes,
974-1-3,Type-1,compilation error,compilation error,No,Yes,
1013-3-4,Type-1,compilation error,compilation error,No,Yes,
1020-1-2,Type-1,Yes,Yes,Yes,Yes,
1022-3-5,Type-1,didn't extract clones,didn't extract clones,No,No,incomplete refactorings
1023-1-3,Type-1,Yes,Yes,Yes,Yes,
1023-2-4,Type-1,Yes,Yes,Yes,Yes,
1035-1-3,Type-1,Yes,Yes,Yes,Yes,
1039-2-7,Type-1,Yes,Yes,Yes,Yes,
1039-3-8,Type-1,Yes,Yes,Yes,Yes,
1041-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1044-1-2,Type-1,Yes,Yes,Yes,Yes,GPT refactor more lines than the clones
1085-1-2,Type-1,Yes,Yes,Yes,Yes,
1117-3-5,Type-1,didn't extract clones,didn't extract clones,No,No,incomplete refactorings
