Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
4-1-2,Type-3,Yes,Yes,Yes,Yes,
37-2-3,Type-3,Yes,Yes,Yes,No,
51-1-2,Type-3,Yes,Yes,Yes,Yes,
52-1-2,Type-3,Yes,Yes,Yes,Yes,
52-1-3,Type-3,Yes,Yes,No,Yes,"The clones contain lots of if else, GPT extract the common logic within each if, else condition, while JDeodorant extract the common logic in the whole if else"
52-2-3,Type-3,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
52-2-4,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
52-3-4,Type-3,Yes,Yes,Yes,No,
85-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor the whole method
95-1-2,Type-3,compilation error,compilation error,No,Yes,
121-1-2,Type-3,Yes,Yes,Yes,Yes,
177-1-2,Type-3,Yes,tests fail,No,No,
189-1-2,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
202-1-2,Type-2,compilation error,compilation error,No,No,
203-1-2,Type-2,Yes,Yes,Yes,Yes,
218-1-2,Type-2,Yes,Yes,Yes,Yes,
240-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor the whole method
240-3-4,Type-2,Yes,Yes,Yes,No,
245-1-2,Type-3,compilation error,compilation error,No,Yes,
253-1-2,Type-3,Yes,Yes,No,Yes,gpt did not find common logic of whole clones. The extracted method still contain part of clones
254-1-2,Type-3,compilation error,compilation error,No,Yes,
263-1-2,Type-2,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
263-1-3,Type-3,Yes,Yes,Yes,Yes,
263-1-4,Type-3,compilation error,compilation error,No,No,
263-2-3,Type-3,compilation error,compilation error,No,No,
263-2-4,Type-2,compilation error,compilation error,No,Yes,
263-3-4,Type-2,compilation error,compilation error,No,No,
273-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor the whole method
285-1-2,Type-3,Yes,Yes,No,Yes,gpt did not find common logic of whole clones. The extracted method still contain part of clones
287-2-3,Type-1,Yes,Yes,Yes,Yes,
300-2-3,Type-1,Yes,Yes,Yes,Yes,
318-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor almost the whole method
327-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than the clones
334-1-2,Type-2,Yes,Yes,Yes,Yes,
351-1-2,Type-1,Yes,Yes,Yes,Yes,
377-1-2,Type-2,Yes,Yes,Yes,Yes,
400-1-2,Type-2,Yes,Yes,Yes,Yes,gpt refactor the whole method
419-1-2,Type-2,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
431-1-2,Type-2,Yes,Yes,Yes,Yes,gpt refactor the whole method
454-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor the whole method
471-1-2,Type-3,Yes,tests fail,No,Yes,
495-2-3,Type-2,Yes,tests fail,No,Yes,
505-1-2,Type-2,Yes,Yes,Yes,No,
509-1-2,Type-2,Yes,Yes,Yes,Yes,
531-1-2,Type-3,Yes,Yes,Yes,Yes,
550-1-2,Type-3,Yes,Yes,Yes,No,
571-1-2,Type-2,Yes,Yes,Yes,Yes,
572-1-2,Type-2,compilation error,compilation error,No,Yes,
574-1-2,Type-3,Yes,Yes,Yes,Yes,
594-1-2,Type-2,Yes,Yes,Yes,No,
602-1-2,Type-2,Yes,Yes,Yes,Yes,
603-1-2,Type-3,compilation error,compilation error,No,No,
603-4-5,Type-3,Yes,Yes,Yes,No,
605-1-2,Type-2,Yes,Yes,Yes,No,
620-1-2,Type-3,Yes,Yes,No,No,just refactor part of the clones
621-1-2,Type-2,Yes,Yes,Yes,Yes,gpt refactor the whole method
635-1-2,Type-3,Yes,Yes,Yes,Yes,
643-1-2,Type-2,Yes,Yes,Yes,Yes,
643-3-4,Type-2,Yes,Yes,Yes,Yes,
648-1-2,Type-3,compilation error,compilation error,No,Yes,
658-1-2,Type-3,Yes,Yes,Yes,No,
661-1-2,Type-3,Yes,Yes,Yes,No,gpt refactor more lines than the clones
666-1-2,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
669-1-2,Type-3,Yes,Yes,No,Yes,"GPT did not find common logic, still have clones in the extaction"
684-1-2,Type-2,Yes,Yes,Yes,No,
687-1-2,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
723-1-2,Type-2,Yes,Yes,No,No,gpt did not find common logic of whole clones. The extracted method still contain part of clones
724-1-2,Type-2,compilation error,compilation error,No,No,
725-1-2,Type-3,Yes,Yes,No,No,gpt did not find common logic of whole clones. The extracted method still contain part of clones
740-1-2,Type-2,Yes,Yes,Yes,Yes,
743-1-2,Type-2,Yes,Yes,Yes,Yes,
749-1-2,Type-2,Yes,Yes,Yes,Yes,
750-1-2,Type-2,Yes,Yes,Yes,No,
754-2-3,Type-3,Yes,Yes,Yes,Yes,
761-2-3,Type-2,Yes,Yes,Yes,Yes,
763-1-2,Type-2,Yes,Yes,Yes,Yes,
771-1-2,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clones
773-1-2,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
774-1-2,Type-2,Yes,Yes,Yes,Yes,
775-1-2,Type-2,Yes,Yes,Yes,Yes,
778-1-2,Type-3,Yes,Yes,Yes,No,
779-1-2,Type-3,compilation error,compilation error,No,No,
797-1-2,Type-2,Yes,Yes,Yes,No,
797-3-4,Type-3,Yes,Yes,No,No,"GPT did not find common logic, still have clones in the extaction"
827-1-2,Type-2,Yes,Yes,Yes,No,
830-1-2,Type-3,Yes,Yes,Yes,Yes,
836-1-2,Type-2,Yes,Yes,Yes,No,
850-1-2,Type-2,Yes,Yes,Yes,Yes,
852-2-3,Type-2,Yes,Yes,Yes,Yes,
865-1-2,Type-3,compilation error,compilation error,No,No,
865-3-4,Type-3,Yes,Yes,Yes,No,
868-2-3,Type-3,Yes,Yes,Yes,No,
872-1-2,Type-2,Yes,Yes,Yes,Yes,
872-1-3,Type-2,Yes,Yes,Yes,Yes,
872-1-4,Type-2,Yes,Yes,Yes,Yes,
872-2-3,Type-2,Yes,Yes,Yes,Yes,
872-2-4,Type-2,Yes,Yes,Yes,Yes,
872-3-4,Type-2,Yes,Yes,Yes,Yes,
884-2-3,Type-2,Yes,Yes,Yes,Yes,
893-1-2,Type-2,compilation error,compilation error,No,No,
901-1-2,Type-2,Yes,Yes,Yes,Yes,
904-1-2,Type-3,Yes,Yes,Yes,Yes,
904-1-3,Type-3,Yes,Yes,Yes,Yes,
904-1-4,Type-2,compilation error,compilation error,No,Yes,
904-1-5,Type-2,compilation error,compilation error,No,Yes,
904-1-6,Type-2,compilation error,compilation error,No,Yes,
904-1-7,Type-2,compilation error,compilation error,No,Yes,
904-2-3,Type-2,compilation error,compilation error,No,Yes,
904-2-4,Type-2,compilation error,compilation error,No,Yes,
904-2-5,Type-2,compilation error,compilation error,No,Yes,
904-2-6,Type-2,compilation error,compilation error,No,Yes,
904-2-7,Type-3,compilation error,compilation error,No,Yes,
904-3-4,Type-2,compilation error,compilation error,No,Yes,
904-3-5,Type-2,compilation error,compilation error,No,Yes,
904-3-6,Type-2,compilation error,compilation error,No,Yes,
904-3-7,Type-2,compilation error,compilation error,No,Yes,
