Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
271-1-2,Type-1,compilation error,compilation error,No,Yes,
327-3-4,Type-1,Yes,Yes,Yes,No,
601-1-2,Type-1,compilation error,compilation error,No,Yes,
641-3-4,Type-1,Yes,Yes,Yes,Yes,
661-3-4,Type-1,Yes,Yes,Yes,Yes,
678-3-4,Type-1,Yes,Yes,Yes,Yes,
699-1-2,Type-1,Yes,Yes,Yes,Yes,
745-3-4,Type-1,Yes,Yes,Yes,Yes,
752-1-2,Type-1,compilation error,compilation error,No,Yes,
755-3-4,Type-1,Yes,Yes,Yes,Yes,
889-1-2,Type-1,compilation error,compilation error,No,Yes,
904-4-5,Type-1,compilation error,compilation error,No,Yes,
998-1-2,Type-1,Yes,Yes,Yes,Yes,
1016-1-2,Type-1,Yes,Yes,Yes,Yes,
1024-4-5,Type-1,compilation error,compilation error,No,Yes,
1048-1-2,Type-1,Yes,Yes,Yes,Yes,
1081-1-2,Type-1,Yes,Yes,Yes,Yes,
1091-1-3,Type-1,Yes,Yes,Yes,Yes,
1091-2-4,Type-1,Yes,Yes,Yes,Yes,
1168-1-2,Type-1,Yes,Yes,Yes,Yes,
1169-1-2,Type-1,Yes,Yes,Yes,Yes,
1178-2-3,Type-1,Yes,Yes,Yes,Yes,
1206-1-2,Type-1,Yes,Yes,Yes,Yes,
1238-1-3,Type-1,compilation error,compilation error,No,Yes,
1238-2-4,Type-1,Yes,Yes,Yes,Yes,
1240-1-2,Type-1,compilation error,compilation error,No,Yes,
1304-1-2,Type-1,Yes,Yes,Yes,Yes,
1386-1-2,Type-1,Yes,Yes,Yes,Yes,
1386-1-3,Type-1,Yes,Yes,Yes,Yes,
1386-2-3,Type-1,Yes,Yes,Yes,Yes,
1393-1-2,Type-1,Yes,Yes,Yes,No,expanded refactoring
1400-3-4,Type-1,Yes,Yes,Yes,Yes,
1400-5-6,Type-1,Yes,Yes,Yes,Yes,
1411-1-2,Type-1,Yes,Yes,Yes,Yes,comprehensive refactoring
1467-4-6,Type-1,Yes,Yes,Yes,Yes,
1467-7-8,Type-1,Yes,Yes,Yes,Yes,
1467-7-10,Type-1,Yes,Yes,Yes,Yes,
1467-8-10,Type-1,Yes,Yes,Yes,Yes,
1467-9-11,Type-1,Yes,Yes,Yes,Yes,
1485-1-2,Type-1,Yes,Yes,Yes,Yes,
1492-1-2,Type-1,compilation error,compilation error,No,No,
1535-1-2,Type-1,Yes,Yes,Yes,Yes,
1535-1-3,Type-1,Yes,Yes,Yes,Yes,
1535-1-4,Type-1,Yes,Yes,Yes,Yes,
1535-2-3,Type-1,Yes,Yes,Yes,Yes,
1535-2-4,Type-1,Yes,Yes,Yes,Yes,
1535-3-4,Type-1,Yes,Yes,Yes,Yes,
1535-5-6,Type-1,Yes,Yes,Yes,Yes,
1535-5-7,Type-1,Yes,Yes,Yes,Yes,
1535-5-8,Type-1,Yes,Yes,Yes,Yes,
1535-6-7,Type-1,Yes,Yes,Yes,Yes,
1535-6-8,Type-1,Yes,Yes,Yes,Yes,
1535-7-8,Type-1,Yes,Yes,Yes,Yes,
1564-1-4,Type-1,Yes,Yes,Yes,Yes,
1569-1-2,Type-1,Yes,Yes,Yes,No,
1639-1-2,Type-1,Yes,Yes,No,No,incomplete refactoring
1659-4-5,Type-1,Yes,Yes,Yes,Yes,
1659-6-7,Type-1,Yes,Yes,Yes,Yes,
1669-1-2,Type-1,Yes,Yes,Yes,Yes,
1689-1-2,Type-1,Yes,Yes,Yes,Yes,
1758-1-2,Type-1,Yes,Yes,Yes,Yes,
1783-1-2,Type-1,Yes,Yes,Yes,Yes,
