Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
7-1-2,Type-3,Yes,Yes,Yes,No,
7-1-3,Type-3,compilation error,compilation error,No,No,
66-1-2,Type-3,compilation error,compilation error,No,No,
66-1-3,Type-3,compilation error,compilation error,No,Yes,
66-2-3,Type-2,compilation error,compilation error,No,No,
111-1-2,Type-3,compilation error,compilation error,No,No,
120-1-2,Type-3,compilation error,compilation error,No,No,
124-1-2,Type-2,Yes,Yes,Yes,No,
126-2-3,Type-3,Yes,Yes,Yes,Yes,
132-1-2,Type-3,compilation error,compilation error,No,No,
140-1-2,Type-3,compilation error,compilation error,No,No,
154-1-2,Type-3,Yes,test fails,No,No,
155-1-3,Type-3,Yes,test fails,No,No,
166-1-3,Type-2,Yes,Yes,Yes,No,
170-1-2,Type-3,gpt didn't generate method calls,gpt didn't generate method calls,gpt didn't generate method calls,No,
181-1-2,Type-2,compilation error,compilation error,No,No,
195-1-2,Type-3,compilation error,compilation error,No,Yes,
195-1-3,Type-1,compilation error,compilation error,No,Yes,
196-1-2,Type-2,Yes,Yes,Yes,No,
199-1-2,Type-2,Yes,test fails,No,No,
209-1-2,Type-3,Yes,test fails,No,No,
209-1-3,Type-2,Yes,test fails,No,No,
209-1-4,Type-2,gpt didn't generate method calls,gpt didn't generate method calls,gpt didn't generate method calls,No,
209-2-3,Type-3,Yes,test fails,No,No,
209-2-4,Type-3,compilation error,compilation error,No,No,
242-2-3,Type-3,Yes,test fails,No,No,
242-2-4,Type-3,compilation error,compilation error,No,No,
242-3-4,Type-3,Yes,test fails,No,No,
246-1-2,Type-2,Yes,Yes,Yes,Yes,
260-1-2,Type-3,compilation error,compilation error,No,No,
261-1-2,Type-1,compilation error,compilation error,No,Yes,
274-1-3,Type-3,compilation error,compilation error,No,No,
274-1-4,Type-3,Yes,test fails,No,No,
274-3-4,Type-3,Yes,Yes,Yes,No,
286-1-2,Type-2,compilation error,compilation error,No,No,
286-1-3,Type-3,compilation error,compilation error,No,No,
286-2-3,Type-3,Yes,Yes,Yes,No,
292-1-2,Type-3,Yes,test fails,No,No,
292-2-3,Type-3,Yes,test fails,No,No,
292-2-4,Type-3,Yes,test fails,No,No,
292-2-5,Type-3,Yes,test fails,No,No,
292-4-5,Type-3,gpt didn't generate method calls,gpt didn't generate method calls,gpt didn't generate method calls,No,
292-4-8,Type-3,compilation error,compilation error,No,No,
292-4-10,Type-3,Yes,test fails,No,No,
292-6-9,Type-3,Yes,test fails,No,No,
292-8-10,Type-2,compilation error,compilation error,No,No,
296-3-4,Type-3,compilation error,compilation error,No,No,
296-3-5,Type-3,Yes,test fails,No,No,
296-4-5,Type-3,compilation error,compilation error,No,No,
297-1-3,Type-3,compilation error,compilation error,No,No,
297-1-4,Type-3,compilation error,compilation error,No,No,
297-2-3,Type-3,Yes,Yes,Yes,No,
297-2-4,Type-3,Yes,Yes,Yes,No,
297-3-4,Type-2,compilation error,compilation error,No,No,
297-3-5,Type-2,Yes,Yes,Yes,No,
297-4-5,Type-2,Yes,Yes,Yes,No,
299-1-2,Type-2,Yes,Yes,Yes,No,
305-1-2,Type-3,Yes,test fails,No,No,
305-1-3,Type-3,Yes,test fails,No,No,
305-1-5,Type-3,Yes,test fails,No,No,
305-2-3,Type-3,Yes,test fails,No,No,
305-2-5,Type-3,Yes,test fails,No,No,
305-3-5,Type-3,Yes,test fails,No,No,
321-1-3,Type-1,compilation error,compilation error,No,Yes,
321-1-4,Type-3,compilation error,compilation error,No,Yes,
321-2-3,Type-1,compilation error,compilation error,No,Yes,
322-1-2,Type-3,compilation error,compilation error,No,No,
322-1-4,Type-3,Yes,test fails,No,No,
322-2-4,Type-3,Yes,test fails,No,No,
322-2-5,Type-3,Yes,test fails,No,No,
322-4-5,Type-3,Yes,test fails,No,No,
332-1-2,Type-3,Yes,test fails,No,No,
342-2-4,Type-3,Yes,test fails,No,No,
489-1-2,Type-2,Yes,test fails,No,No,
511-1-4,Type-3,Yes,Yes,Yes,Yes,
511-2-3,Type-3,Yes,Yes,Yes,Yes,
512-1-2,Type-3,compilation error,compilation error,No,Yes,
537-1-2,Type-2,compilation error,compilation error,No,No,
566-1-2,Type-2,Yes,Yes,Yes,No,
599-1-2,Type-2,compilation error,compilation error,No,No,
599-1-3,Type-2,Yes,Yes,Yes,No,
599-1-4,Type-2,compilation error,compilation error,No,No,
599-2-3,Type-2,compilation error,compilation error,No,No,
599-3-4,Type-2,compilation error,compilation error,No,No,
667-1-2,Type-3,Yes,Yes,Yes,No,
698-1-2,Type-3,Yes,Yes,Yes,No,
710-1-3,Type-2,Yes,Yes,Yes,No,
710-2-3,Type-2,compilation error,compilation error,No,No,
718-1-5,Type-2,Yes,Yes,Yes,No,
718-1-6,Type-2,Yes,test fails,No,No,
718-2-5,Type-3,compilation error,compilation error,No,No,
718-2-6,Type-2,Yes,test fails,No,No,
718-3-7,Type-2,gpt didn't generate method calls,gpt didn't generate method calls,gpt didn't generate method calls,No,
718-3-8,Type-3,compilation error,compilation error,No,No,
718-4-7,Type-3,compilation error,compilation error,No,No,
718-4-8,Type-2,compilation error,compilation error,No,No,
759-1-2,Type-2,compilation error,compilation error,No,Yes,
759-1-4,Type-2,compilation error,compilation error,No,Yes,
759-2-3,Type-2,compilation error,compilation error,No,Yes,
759-3-4,Type-2,Yes,Yes,Yes,Yes,
762-1-3,Type-2,compilation error,compilation error,No,No,
762-1-4,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-1-5,Type-2,compilation error,compilation error,No,No,
762-1-6,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-2-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-2-4,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-2-5,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-2-6,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
762-3-5,Type-2,compilation error,compilation error,No,Yes,
762-3-6,Type-2,compilation error,compilation error,No,Yes,
762-4-5,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
762-4-6,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
824-1-3,Type-3,compilation error,compilation error,No,Yes,
824-1-5,Type-1,Yes,Yes,Yes,Yes,
824-2-3,Type-3,compilation error,compilation error,No,Yes,
824-2-4,Type-3,compilation error,compilation error,No,Yes,
824-3-4,Type-3,compilation error,compilation error,No,Yes,
824-3-5,Type-3,compilation error,compilation error,No,Yes,
