Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
142-1-2,Type-2,Yes,Yes,Yes,No,
146-1-2,Type-3,compilation error,compilation error,No,No,
153-1-2,Type-2,Yes,Yes,Yes,No,
180-1-2,Type-2,Yes,Yes,Yes,No,
183-1-2,Type-1,compilation error,compilation error,No,No,
268-1-3,Type-3,Yes,Yes,Yes,No,
268-2-3,Type-3,Yes,Yes,No,No,only refactor part of the clone
268-3-4,Type-3,Yes,Yes,No,No,only refactor one line of clone
298-1-3,Type-3,Yes,Yes,No,No,only refactor one line of clone
298-2-3,Type-3,Yes,Yes,No,No,only refactor part of the clone
298-3-4,Type-3,Yes,Yes,No,No,only refactor part of the clone
301-1-2,Type-3,Yes,Yes,No,No,only refactor part of the clone
311-1-2,Type-3,compilation error,compilation error,No,No,
330-1-2,Type-3,Yes,Yes,No,No,only refactor part of the clone
478-3-6,Type-3,Yes,Yes,Yes,No,
478-3-9,Type-3,Yes,tests fail,No,No,
478-3-11,Type-3,Yes,Yes,Yes,No,
497-1-3,Type-1,compilation error,compilation error,No,No,
497-2-3,Type-1,compilation error,compilation error,No,No,
504-1-2,Type-2,Yes,Yes,Yes,No,
504-2-3,Type-3,compilation error,compilation error,No,No,
518-3-9,Type-3,compilation error,compilation error,No,No,
518-3-10,Type-3,compilation error,compilation error,No,No,
518-3-12,Type-3,Yes,tests fail,No,No,
518-3-13,Type-3,Yes,tests fail,No,No,
527-2-8,Type-3,Yes,Yes,Yes,No,
539-1-3,Type-3,compilation error,compilation error,No,No,
539-2-3,Type-3,compilation error,compilation error,No,No,
573-1-2,Type-2,Yes,Yes,Yes,No,
582-1-2,Type-3,compilation error,compilation error,No,No,
631-1-2,Type-2,Yes,Yes,Yes,No,
631-1-3,Type-3,compilation error,compilation error,No,No,
631-2-3,Type-3,compilation error,compilation error,No,No,
641-1-3,Type-2,Yes,Yes,No,No,only refactor part of the clone
641-1-4,Type-2,Yes,Yes,No,No,only refactor part of the clone
659-1-2,Type-2,Yes,Yes,Yes,No,
678-1-3,Type-2,Yes,Yes,Yes,No,
678-1-4,Type-2,Yes,Yes,Yes,No,
690-2-3,Type-3,Yes,Yes,Yes,No,
745-1-3,Type-2,Yes,Yes,Yes,No,
745-1-4,Type-2,Yes,Yes,Yes,No,
755-1-3,Type-3,Yes,Yes,Yes,No,
755-1-4,Type-3,Yes,Yes,Yes,No,
882-1-2,Type-3,compilation error,compilation error,No,No,
992-1-2,Type-3,compilation error,compilation error,No,No,
1161-1-4,Type-3,compilation error,compilation error,No,No,
1161-1-7,Type-3,compilation error,compilation error,No,No,
1161-1-8,Type-3,compilation error,compilation error,No,No,
1161-2-3,Type-3,compilation error,compilation error,No,No,
1161-2-5,Type-3,compilation error,compilation error,No,No,
1161-2-6,Type-3,Yes,Yes,Yes,No,
1161-2-9,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1161-2-10,Type-3,compilation error,compilation error,No,No,
1161-3-7,Type-3,compilation error,compilation error,No,No,
1161-3-8,Type-3,compilation error,compilation error,No,No,
1161-4-6,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1161-4-9,Type-3,compilation error,compilation error,No,No,
1161-4-10,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1161-5-7,Type-3,compilation error,compilation error,No,No,
1161-5-8,Type-3,compilation error,compilation error,No,No,
1161-6-8,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1161-7-9,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1161-7-10,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1214-1-2,Type-4,compilation error,compilation error,No,No,
1227-1-3,Type-4,compilation error,compilation error,No,No,
1227-2-3,Type-4,compilation error,compilation error,No,No,
1243-1-2,Type-4,compilation error,compilation error,No,No,
1243-1-3,Type-4,compilation error,compilation error,No,No,
1312-1-3,no clone,did not refactor the clone,did not refactor the clone,No,No,incomplete refactoring
1415-1-4,Type-3,Yes,Yes,Yes,Yes,GPT refactor more lines than clones
1415-2-3,Type-3,Yes,Yes,Yes,Yes,GPT refactor more lines than clones
1415-2-5,Type-3,Yes,Yes,Yes,Yes,
1415-4-5,Type-3,Yes,Yes,Yes,Yes,
1543-1-2,Type-3,Yes,tests fail,No,No,
1574-1-2,Type-3,compilation error,compilation error,No,No,
1652-1-2,Type-3,compilation error,compilation error,No,No,
1652-1-3,Type-3,compilation error,compilation error,No,No,
1652-1-4,Type-4,compilation error,compilation error,No,No,
1652-1-5,Type-4,compilation error,compilation error,No,No,
1714-1-3,Type-3,Yes,Yes,Yes,No,GPT refactor more lines than clones
1714-2-3,Type-3,Yes,Yes,Yes,No,GPT refactor more lines than clones
1729-1-4,Type-3,compilation error,compilation error,No,No,
1729-1-5,Type-3,compilation error,compilation error,No,No,
1757-2-4,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1757-2-5,Type-3,wrong clones found,wrong clones found,wrong clones found,No,
1757-3-4,Type-3,compilation error,compilation error,No,Yes,
1757-3-5,Type-3,Yes,Yes,Yes,Yes,
1772-1-2,Type-3,compilation error,compilation error,No,No,
